what,kind,bundleId,bundleVersion,description,time
started,bundle,org.hibernate.eclipse.mapper,3.5.1.v20120715-0252-H98-Final,"org.hibernate.eclipse.mapper",1360142768808
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1360142769072
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1360142769454
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1360142770705
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1360142770801
opened,editor,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1360142770937
activated,editor,org.jboss.tools.common.model.ui,3.3.1.v20120715-0209-H81-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1360142771444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142778981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142780848
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1360142781883
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1360142781904
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1360142781924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142782362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142783670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142804042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142821126
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1360142821898
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1360142824297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142828883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360142832608
