what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1361787781695
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1361787783705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787787756
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1361787787766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787799840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787800778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787802159
started,bundle,org.jboss.ide.eclipse.as.dmr,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.dmr",1361787803826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787812156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787812738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787815546
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1361787817746
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1361787827522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1361787841357
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1361787842064
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1361787842067
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1361787842122
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1361787842123
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1361787842518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1361787848886
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1361787848967
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1361787849004
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1361787849031
