what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360229012023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360229025606
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1360229026890
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1360229029410
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360229035462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360229048340
error,log,,,"Error connecting to jmx for server JBoss 7.1 Runtime Server",1360229050619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360229058107
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1360229058242
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360229072918
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360229075800
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1360229077297
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360229079536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360229085277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231466964
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360231469286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360231489169
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360231492522
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360231493524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1360231549172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231577724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231611451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360231640417
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1360231654874
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360231668994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231671478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231700381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231701830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231721977
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1360231728583
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1360231729576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231730665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231732914
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360231738121
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1360231749130
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360231752606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231752814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231759396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360231762617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234159842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234161186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234168193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234171257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234176471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234196884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234278510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234300390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360234302684
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360234308509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360234313324
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360234316505
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360234316746
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360234339809
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360234340163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360234340244
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360234370900
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360234371146
