what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324291253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324291597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324291877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324292148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324292449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324292982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324293368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324293717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360324303227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324311486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1360324313932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324316666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324367914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324370794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324375155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324375249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324378354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324378438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324381042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324381137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324383792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324383879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324387464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324387502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324391347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324391480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360324409504
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1360324417943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324427745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324428947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324440158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324448376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360324453086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324459983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360324467474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324469027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324477425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324478162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324479482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324505115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324507001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324526272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324553719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324555532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324559802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324559907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1360324565397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324567424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1360324571844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324574284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324580562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324590413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324594094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324598933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324612587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324616820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360324661702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324664727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360324665392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1360324681448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360324688418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324692315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360324707485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324710808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324723294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324726616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324728071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360324730701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360324745933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324748600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324758481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324762239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360324767974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360324799843
