what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1359702240877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702250879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702313960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702315756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702437636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702454305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702456706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702457275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702524378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702524852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702549853
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359702551517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359702556155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702558805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702622881
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359702652259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359702667509
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1359702903398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702914199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359702936916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359702938485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359702983699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359702999573
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359702999950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359703000135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703004377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703014374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1359703014398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703024880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703192565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703193325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703193462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359703222189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359703244108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1359703248631
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359703261628
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359703266659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703270675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703307508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359703314656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703316466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359703350862
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359703358544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359703372077
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359703373780
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359703377286
